問い合わせ概要,対応方法
パスワードを忘れました,パスワード再設定リンクを送る
ログインできません,サポートチームに転送
請求書が届かない,請求書送付の状況を確認
メールが届かない,メールアドレスの設定を確認
アプリがクラッシュしました,エラー報告を送るよう依頼
新しいデバイスでログインしたい,デバイス認証方法を案内
クーポンコードが使えません,有効期限と条件を確認
支払い方法を変更したい,支払い方法の変更手順を案内
注文をキャンセルしたい,注文キャンセルフォームを送る
商品の到着が遅れています,配送状況を確認
返品したい,返品ポリシーを案内
アカウントを削除したい,アカウント削除手順を案内
二段階認証を設定したい,二段階認証の設定方法を案内
二段階認証コードが届きません,コード再送を依頼
アプリがインストールできない,アプリ対応端末を確認
購入履歴を確認したい,購入履歴ページを案内
レビューを投稿できません,投稿手順を案内
商品が破損して届きました,交換対応方法を案内
商品の色が違います,交換または返品の方法を案内
支払いが完了しません,カード会社に確認を依頼
クレジットカード情報を変更したい,カード情報変更手順を案内
登録メールアドレスを変更したい,メールアドレス変更手順を案内
請求金額に間違いがあります,請求書を確認しサポートに転送
注文が反映されていません,注文の確認とサポートに転送
商品が欠品しています,在庫確認を案内
キャンペーン情報が知りたい,キャンペーンページを案内
定期購入を解約したい,解約手順を案内
プライバシーポリシーを知りたい,プライバシーポリシーページを案内
アカウントが乗っ取られた可能性があります,緊急サポートに転送
商品が届かない,配送会社に確認し状況を報告
誤配送の商品が届きました,正しい商品と交換方法を案内
商品説明と違うものが届きました,返品または交換の手続きを案内
商品の使用方法を知りたい,マニュアルページを案内
商品の保証について知りたい,保証ポリシーページを案内
新しいクーポンが欲しい,最新クーポン情報を案内
注文後に住所を変更したい,住所変更可能か確認し案内
登録した覚えがないメールが届いた,安全対策ページを案内
ポイントが反映されていません,ポイント履歴を確認し案内
ログアウトできません,セッション設定を確認
退会後のデータを復元したい,復元不可のためポリシーを説明
受け取った商品に欠陥があります,交換または返品手続きを案内
過去の注文をキャンセルできますか,注文履歴から可能性を確認
領収書を発行してほしい,領収書発行ページを案内
ウェブサイトが表示されない,ブラウザのキャッシュを確認
アカウントが一時停止されています,停止理由を案内し再開手続きを支援
ユーザー名を変更したい,変更手順を案内
ログイン履歴を確認したい,ログイン履歴ページを案内
古いバージョンのアプリを使いたい,サポート対象外のため理由を案内
メールアドレスの確認ができません,確認メールを再送
データをバックアップしたい,バックアップ手順を案内
チャット履歴を取得したい,履歴取得可能か確認
商品が到着予定日より遅れています,配送会社に確認
サーバーエラーが発生しました,サーバーチームに転送
ログインIDを忘れました,ID確認手順を案内
予約を変更したい,予約変更フォームを案内
購入を途中でキャンセルしたい,購入キャンセル可能か確認
注文した商品をギフトラッピングに変更したい,変更可能か確認
登録したクレジットカードの期限が切れています,新しいカード情報を登録
サブスクリプションを一時停止したい,停止手順を案内
対応が遅れている,謝罪と状況確認を行い返信
同じ問い合わせを送信してしまいました,重複対応をまとめて返信
チャットが接続できません,接続状況を確認し案内
商品到着日時を変更したい,配送会社への変更依頼手順を案内
商品の部品が不足していました,不足部品の再送手続きを案内
サブスクリプションの料金が高い,プラン変更または解約の案内
セキュリティ通知が届きました,通知内容を確認し対処
新しいプランについて知りたい,プランの詳細ページを案内
商品の品質が気になります,品質保証情報を案内
返品期限を過ぎています,特例可能か確認し案内
請求明細がわからない,明細確認方法を案内
デビットカードが使えない,サポート可能なカードを案内
ログイン画面がループします,ブラウザキャッシュ削除を案内
アカウントを完全に削除したい,削除ポリシーを説明
対応に時間がかかりすぎる,状況を確認し謝罪
キャンペーン割引が反映されません,適用条件を確認し案内
商品レビューが反映されません,レビュー承認ステータスを確認
過去の注文内容を確認したい,注文履歴ページを案内
チャットサポートが遅い,状況確認と謝罪を行う
クーポンの併用ができません,併用条件を説明
セキュリティコードが無効です,再送手続きを案内
過去の問い合わせ履歴を確認したい,履歴確認ページを案内
商品の配送業者を変更したい,変更手順を確認し案内
